Advertiser_ID,Advertiser_Name,Spend_EUR,link,party,
AR04676566000559194113,Nea Demokratia,145100,https://adstransparency.google.com/advertiser/AR04676566000559194113,ND,
AR14262125963696406529,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ,120250,https://adstransparency.google.com/advertiser/AR14262125963696406529,SYRIZA,
AR10722849092456677377,ΠΙΕΡΡΑΚΑΚΗΣ ΚΥΡΙΑΚΟΣ,16750,https://adstransparency.google.com/advertiser/AR10722849092456677377,ND,
AR03998246491058601985,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,14800,https://adstransparency.google.com/advertiser/AR03998246491058601985,KKE,
AR11173565296961126401,ΠΑΣΟΚ – Κίνημα Αλλαγής,14750,https://adstransparency.google.com/advertiser/AR11173565296961126401,PASOK,
AR00585080923465187329,ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΥΡΑΝΑΚΗΣ,10450,https://adstransparency.google.com/advertiser/AR00585080923465187329,ND,
AR04801062327782735873,Βασίλειος Κικίλιας,8500,https://adstransparency.google.com/advertiser/AR04801062327782735873,ND,
AR06025429273328746497,ΝΙΚΟΛΑΟΣ-ΓΕΩΡΓΙΟΣ ΔΕΝΔΙΑΣ,6700,https://adstransparency.google.com/advertiser/AR06025429273328746497,ND,
AR10547043299208724481,Δημήτριος Καιρίδης,4000,https://adstransparency.google.com/advertiser/AR10547043299208724481,ND,
AR00605782184795570177,ΠΕΤΤΑΣ ΝΙΚΟΛΑΟΣ,3850,https://adstransparency.google.com/advertiser/AR00605782184795570177,MeRA25,
AR17192800265376366593,YOUR BRAND GRAND I.K.E.,3450,https://adstransparency.google.com/advertiser/AR17192800265376366593,OTHER,Not a party 
AR06840381175802888193,Αθανάσιος Μωραΐτης,3350,https://adstransparency.google.com/advertiser/AR06840381175802888193,SYRIZA,
AR15485074126925725697,European Parliament,2750,https://adstransparency.google.com/advertiser/AR15485074126925725697,GOV,
AR10737175728966598657,ΚΩΝΣΤΑΝΤΙΝΟΣ ΧΑΤΖΗΔΑΚΗΣ,2550,https://adstransparency.google.com/advertiser/AR10737175728966598657,ND,
AR14725485108811268097,ΕΛΕΝΗ ΜΑΡΙΑ ΑΠΟΣΤΟΛΑΚΗ,2550,https://adstransparency.google.com/advertiser/AR14725485108811268097,PASOK,
AR07944446980741136385,ΚΑΡΑΜΑΝΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,2500,https://adstransparency.google.com/advertiser/AR07944446980741136385,ND,
AR07500087052956860417,ΑΛΕΞΟΠΟΥΛΟΥ ΧΡΙΣΤΙΝΑ ΜΙΧΑΗΛ,2450,https://adstransparency.google.com/advertiser/AR07500087052956860417,ND,
AR12186490384049766401,PANAGIOTIS THEODORIKAKOS,2450,https://adstransparency.google.com/advertiser/AR12186490384049766401,ND,
